index,q_number,prompt,limit,durationCB,duration_GPT4.1 (ms)
0,1,What can I visit today in Madrid?,10,44.60000001,1693
1,1,What can I visit today in Madrid?,10,55.29999999701977,4632
2,1,What can I visit today in Madrid?,10,80.69999998807907,2748
3,1,What can I visit today in Madrid?,10,48.80000001192093,1122
4,1,What can I visit today in Madrid?,10,71.70000000298023,5154
5,1,What can I visit today in Madrid?,10,41.39999999,1367
6,1,What can I visit today in Madrid?,10,73.89999999,1535
7,1,What can I visit today in Madrid?,10,42.30000001192093,1514
8,1,What can I visit today in Madrid?,10,41.70000000298023,1011
9,1,What can I visit today in Madrid?,10,47.20000000298023,1132
10,2,What can I visit today in Madrid that costs between 10 and 20€?,10,39.400000005960464,802
11,2,What can I visit today in Madrid that costs between 10 and 20€?,10,44.79999999701977,735
12,2,What can I visit today in Madrid that costs between 10 and 20€?,10,49.39999999,631
13,2,What can I visit today in Madrid that costs between 10 and 20€?,10,34.099999994039536,701
14,2,What can I visit today in Madrid that costs between 10 and 20€?,10,41.5,851
15,2,What can I visit today in Madrid that costs between 10 and 20€?,10,46.70000000298023,696
16,2,What can I visit today in Madrid that costs between 10 and 20€?,10,34.70000000298023,1279
17,2,What can I visit today in Madrid that costs between 10 and 20€?,10,47.099999994039536,689
18,2,What can I visit today in Madrid that costs between 10 and 20€?,10,44.400000005960464,872
19,2,What can I visit today in Madrid that costs between 10 and 20€?,10,38.80000001192093,724
20,3,What can I visit today in Madrid that is free of charge and has a ratio of occupancy of less than 10%?,10,34.599999994039536,1501
21,3,What can I visit today in Madrid that is free of charge and has a ratio of occupancy of less than 10%?,10,17.400000005960464,830
22,3,What can I visit today in Madrid that is free of charge and has a ratio of occupancy of less than 10%?,10,30.299999997019768,1041
23,3,What can I visit today in Madrid that is free of charge and has a ratio of occupancy of less than 10%?,10,57.29999999701977,765
24,3,What can I visit today in Madrid that is free of charge and has a ratio of occupancy of less than 10%?,10,36.80000001192093,632
25,3,What can I visit today in Madrid that is free of charge and has a ratio of occupancy of less than 10%?,10,35.10000001,948
26,3,What can I visit today in Madrid that is free of charge and has a ratio of occupancy of less than 10%?,10,34.70000000298023,664
27,3,What can I visit today in Madrid that is free of charge and has a ratio of occupancy of less than 10%?,10,40.80000001192093,684
